word	Fscore
go.v	0.465
grant.v	0.778
hold.v	0.388
hope.v	0.731
improve.v	0.769
join.v	0.496
keep.v	0.389
kill.v	0.451
lead.v	0.45
maintain.v	0.82
need.v	0.722
negotiate.v	0.8
occur.v	0.797
prepare.v	0.549
produce.v	0.549
promise.v	0.617
propose.v	0.582
prove.v	0.687
purchase.v	0.636
raise.v	0.376
recall.v	0.923
receive.v	0.916
regard.v	0.662
remember.v	0.818
remove.v	0.786
replace.v	0.846
report.v	0.685
rush.v	1
say.v	0.933
see.v	0.477
set.v	0.414
start.v	0.427
turn.v	0.329
work.v	0.467
